% Model,COMSOL_Inductor11_Design5.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 9 2024, 13:38"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,-1.5990101224975604
0,0,-1.2797086942137597
0,0.35,-0.8695395906953536
0.05,-0.35,-1.6211700856331461
0.05,0,-1.2744072256770806
0.05,0.35,-0.8275229217767404
0.1,-0.35,-1.6639714057027746
0.1,0,-1.2826996667407542
0.1,0.35,-0.8021874942843255
0.15000000000000002,-0.35,-1.700918078906433
0.15000000000000002,0,-1.285553812962469
0.15000000000000002,0.35,-0.7718564582655034
0.2,-0.35,-1.7339179490804355
0.2,0,-1.2885098664124683
0.2,0.35,-0.7428592131472982
0.25,-0.35,-1.743927437091628
0.25,0,-1.2694459598797678
0.25,0.35,-0.6921100143287475
0.30000000000000004,-0.35,-1.7280696029306881
0.30000000000000004,0,-1.224574440768471
0.30000000000000004,0.35,-0.6149755623605273
0.35000000000000003,-0.35,-1.7241216635762626
0.35000000000000003,0,-1.191181482203504
0.35000000000000003,0.35,-0.548005451857847
0.4,-0.35,-1.7296281504880966
0.4,0,-1.1659692590001924
0.4,0.35,-0.48774972465812994
0.45000000000000007,-0.35,-1.7213171936058842
0.45000000000000007,0,-1.1264803086952213
0.45000000000000007,0.35,-0.4097751517884731
0.5,-0.35,-1.6826676204110385
0.5,0,-1.0577687124228774
0.5,0.35,-0.2982664270054656
0.55,-0.35,-1.6687418409930501
0.55,0,-1.013008580821797
0.55,0.35,-0.20373717239088762
0.6000000000000001,-0.35,-1.6443124050036957
0.6000000000000001,0,-0.9561613698144455
0.6000000000000001,0.35,-0.08228146664257707
0.6500000000000001,-0.35,-1.6097385434496658
0.6500000000000001,0,-0.8860649547684858
0.6500000000000001,0.35,0.09001673436700486
0.7000000000000001,-0.35,-1.5683449834183065
0.7000000000000001,0,-0.8054716308832539
0.7000000000000001,0.35,0.3038916536576153
0.75,-0.35,-1.5041897313992365
0.75,0,-0.6962022227789006
0.75,0.35,0.5578861632747518
0.8,-0.35,-1.4723194630666683
0.8,0,-0.60652249227158
0.8,0.35,0.7706070919773538
0.8500000000000001,-0.35,-1.405428183302547
0.8500000000000001,0,-0.44509461045423393
0.8500000000000001,0.35,0.9781789353860049
0.9000000000000001,-0.35,-1.345254092539136
0.9000000000000001,0,-0.2525602191509577
0.9000000000000001,0.35,1.119355144305331
0.9500000000000001,-0.35,-1.235629108930972
0.9500000000000001,0,0.0061874247383713055
0.9500000000000001,0.35,1.2479226380776893
1,-0.35,-1.1524247038044848
1,0,0.21950962964231024
1,0.35,1.312094754309669
1.05,-0.35,-1.0086993985023867
1.05,0,0.4146046467003117
1.05,0.35,1.3748479046969777
1.1,-0.35,-0.8045150578834424
1.1,0,0.5723420009088613
1.1,0.35,1.4380610953355983
1.1500000000000001,-0.35,-0.5627821488817375
1.1500000000000001,0,0.6915736270715627
1.1500000000000001,0.35,1.4996753201424013
1.2000000000000002,-0.35,-0.32045737421900355
1.2000000000000002,0,0.7888353530484196
1.2000000000000002,0.35,1.5515772664298453
1.25,-0.35,-0.1198998539703382
1.25,0,0.8562646751345611
1.25,0.35,1.5800623971402175
1.3000000000000003,-0.35,0.02870401968526437
1.3000000000000003,0,0.9025025651392369
1.3000000000000003,0.35,1.5907381247637602
1.35,-0.35,0.16982686042558726
1.35,0,0.9790193256798929
1.35,0.35,1.6345994915284052
1.4000000000000001,-0.35,0.28432971476026125
1.4000000000000001,0,1.043865836618103
1.4000000000000001,0.35,1.6688136039686725
1.4500000000000002,-0.35,0.3620389432413873
1.4500000000000002,0,1.0786467258691061
1.4500000000000002,0.35,1.6735003585534542
