% Model,COMSOL_Inductor12_Design5.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 20 2024, 15:53"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.04529028476408836
0,0,0.11347768651238788
0,0.4,0.15283716268952396
0.05,-0.4,0.06327327507589242
0.05,0,0.11593936172773578
0.05,0.4,0.1521613553673573
0.1,-0.4,0.05983336473185652
0.1,0,0.10387043407786845
0.1,0.4,0.13794504292537102
0.15000000000000002,-0.4,0.06379124628580346
0.15000000000000002,0,0.10184801552000788
0.15000000000000002,0.4,0.1341669506557137
0.2,-0.4,0.04958992509881366
0.2,0,0.08335631295293755
0.2,0.4,0.11396306265521083
0.25,-0.4,0.051931246281720966
0.25,0,0.08259951282553324
0.25,0.4,0.11147058734123139
0.30000000000000004,-0.4,0.04728283558155333
0.30000000000000004,0,0.07569245416443238
0.30000000000000004,0.4,0.1027534561616843
0.35000000000000003,-0.4,0.04080045114890929
0.35000000000000003,0,0.06716035841591417
0.35000000000000003,0.4,0.0923630627142824
0.4,-0.4,0.0356790403591658
0.4,0,0.05999788558870467
0.4,0.4,0.08325657195413072
0.45000000000000007,-0.4,0.02424694189399723
0.45000000000000007,0,0.04648766287437667
0.45000000000000007,0.4,0.06770293429787522
0.5,-0.4,0.017802453401168705
0.5,0,0.03791277562691597
0.5,0.4,0.05701945856619606
0.55,-0.4,0.012815455646315144
0.55,0,0.030730259538025884
0.55,0.4,0.04770530785828431
0.6000000000000001,-0.4,0.009728996535473655
0.6000000000000001,0,0.025367953560928136
0.6000000000000001,0.4,0.040135733379460525
0.6500000000000001,-0.4,0.012967275412435697
0.6500000000000001,0,0.02624721124908902
0.6500000000000001,0.4,0.03876743089989354
0.7000000000000001,-0.4,-0.007632320445336127
0.7000000000000001,0,0.003322925025415202
0.7000000000000001,0.4,0.013607101356412521
0.75,-0.4,-0.0023904454756626947
0.75,0,0.0062692332698732756
0.75,0.4,0.01438484048816413
0.8,-0.4,-0.008833024942069834
0.8,0,-0.002406694150607791
0.8,0.4,0.0036166725009074696
0.8500000000000001,-0.4,-0.003265975816863609
0.8500000000000001,0,0.0010251239866745365
0.8500000000000001,0.4,0.005061239900645553
0.9000000000000001,-0.4,-0.017123510831785538
0.9000000000000001,0,-0.014901893875244987
0.9000000000000001,0.4,-0.012782273638113573
0.9500000000000001,-0.4,-0.021213313147740998
0.9500000000000001,0,-0.02100164802770177
0.9500000000000001,0.4,-0.02074538007628579
1,-0.4,-0.031452510521879695
1,0,-0.03322624147697706
1,0.4,-0.0348113049214227
1.05,-0.4,-0.032006465347730995
1.05,0,-0.03570893356520077
1.05,0.4,-0.039090838325898325
1.1,-0.4,-0.026722003866477273
1.1,0,-0.032314334220001406
1.1,0.4,-0.03747233464102173
1.1500000000000001,-0.4,-0.04117871253680594
1.1500000000000001,0,-0.04857308218857881
1.1500000000000001,0.4,-0.0554462387221637
1.2000000000000002,-0.4,-0.038528999301549405
1.2000000000000002,0,-0.04763497638343672
1.2000000000000002,0.4,-0.05611216524310603
1.25,-0.4,-0.04299320478298263
1.25,0,-0.05365011428308897
1.25,0.4,-0.06360796879319874
1.3000000000000003,-0.4,-0.04970409516550234
1.3000000000000003,0,-0.06175101659284987
1.3000000000000003,0.4,-0.07307936911836599
1.35,-0.4,-0.051704325670336004
1.35,0,-0.0650212687548759
1.35,0.4,-0.07760358434139558
1.4000000000000001,-0.4,-0.06375305907546025
1.4000000000000001,0,-0.07818703623179513
1.4000000000000001,0.4,-0.09186654312336362
1.4500000000000002,-0.4,-0.06798151324981738
1.4500000000000002,0,-0.08343164642225176
1.4500000000000002,0.4,-0.0981152237402636
