% Model,COMSOL_Inductor12_CurrentSweep.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 2 2025, 17:53"
% Table,Table 1 - Global Evaluation 1
% Current (A),"Electromagnetic force, z component (N)"
0,0.13140723157475043
-0.05,0.13054246765666713
-0.1,0.12966446890555133
-0.15000000000000002,0.12876628688202402
-0.2,0.1278202682594416
-0.25,0.12667841479420083
-0.30000000000000004,0.12509710993255133
-0.35000000000000003,0.12322179861302485
-0.4,0.12085005401515969
