% Model,Membrane_1.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 28 2025, 13:13"
% Table,Table 1 - Surface Integration 1
% Displacement (mm),"Reaction force, y-component (N)"
0,0
0.1,0.049211358230879826
0.2,0.09842271646175745
0.30000000000000004,0.14763407469263726
0.4,0.19684543292351653
0.5,0.2460567911543982
0.6000000000000001,0.29526814938527113
0.7000000000000001,0.34447950761614005
0.8,0.39369086584703694
0.9000000000000001,0.4429022240779028
1,0.4921135823087943
1.1,0.5413249405396606
1.2000000000000002,0.59053629877055
1.3000000000000003,0.6397476570014082
1.4000000000000001,0.688959015232296
1.5,0.73817037346317
1.6,0.7873817316940697
1.7000000000000002,0.8365930899249312
1.8000000000000003,0.8858044481558305
1.9000000000000001,0.9350158063866785
2,0.9842271646175951
2.1,1.0334385228484493
2.2,1.0826498810793161
2.3000000000000003,1.1318612393102487
2.4000000000000004,1.1810725975410876
2.5,1.2302839557719527
2.6000000000000005,1.2794953140028378
2.7,1.3287066722337404
2.8000000000000003,1.3779180304645764
2.9000000000000004,1.4271293886955294
3,1.4763407469263448
