% Model,Membrane_1.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 27 2025, 14:43"
% Table,Table 1 - Surface Integration 1
% Displacement (mm),"Reaction force, y-component (N)"
0,0
0.1,0.4015126555849939
0.2,0.8030253111699869
0.30000000000000004,1.2045379667549696
0.4,1.606050622339967
0.5,2.007563277924961
0.6000000000000001,2.409075933509942
0.7000000000000001,2.810588589094939
0.8,3.212101244679953
0.9000000000000001,3.613613900264919
1,4.015126555849928
1.1,4.4166392114349176
1.2000000000000002,4.8181518670198695
1.3000000000000003,5.2196645226048926
1.4000000000000001,5.621177178189884
1.5,6.022689833774843
1.6,6.424202489359905
1.7000000000000002,6.825715144944808
1.8000000000000003,7.227227800529827
1.9000000000000001,7.628740456114814
2,8.030253111699842
2.1,8.431765767284825
2.2,8.833278422869807
2.3000000000000003,9.23479107845488
2.4000000000000004,9.636303734039736
2.5,10.037816389624817
2.6000000000000005,10.439329045209831
2.7,10.840841700794677
2.8000000000000003,11.242354356379758
2.9000000000000004,11.643867011964765
3,12.045379667549753
