,,,-49.53600466E-3,2.2000000,,,,,-49.53600466E-3,2.1200001,,,,,-49.53600466E-3,2.1800001,,,,,-49.53600466E-3,2.1200001,
,,,-49.52000454E-3,2.0800002,,,,,-49.52000454E-3,2.1400001,,,,,-49.52000454E-3,2.0800002,,,,,-49.52000454E-3,2.1200001,
,,,-49.50400442E-3,2.1800001,,,,,-49.50400442E-3,2.1400001,,,,,-49.50400442E-3,2.1800001,,,,,-49.50400442E-3,2.1400001,
,,,-49.48800430E-3,2.1000001,,,,,-49.48800430E-3,2.1200001,,,,,-49.48800430E-3,2.0800002,,,,,-49.48800430E-3,2.1200001,
,,,-49.47200418E-3,2.1800001,,,,,-49.47200418E-3,2.1200001,,,,,-49.47200418E-3,2.1600001,,,,,-49.47200418E-3,2.1200001,
,,,-49.45600405E-3,2.0600002,,,,,-49.45600405E-3,2.1400001,,,,,-49.45600405E-3,2.0600002,,,,,-49.45600405E-3,2.1200001,
,,,-49.44000393E-3,2.2000000,,,,,-49.44000393E-3,2.1400001,,,,,-49.44000393E-3,2.1800001,,,,,-49.44000393E-3,2.1200001,
,,,-49.42400381E-3,2.0800002,,,,,-49.42400381E-3,2.1200001,,,,,-49.42400381E-3,2.0800002,,,,,-49.42400381E-3,2.1200001,
,,,-49.40800369E-3,2.2000000,,,,,-49.40800369E-3,2.1400001,,,,,-49.40800369E-3,2.1800001,,,,,-49.40800369E-3,2.1200001,
,,,-49.39200357E-3,2.0800002,,,,,-49.39200357E-3,2.1400001,,,,,-49.39200357E-3,2.0600002,,,,,-49.39200357E-3,2.1200001,
,,,-49.37600344E-3,2.2200003,,,,,-49.37600344E-3,2.1400001,,,,,-49.37600344E-3,2.1800001,,,,,-49.37600344E-3,2.1200001,
,,,-49.36000332E-3,2.0800002,,,,,-49.36000332E-3,2.1400001,,,,,-49.36000332E-3,2.0600002,,,,,-49.36000332E-3,2.1200001,
,,,-49.34400320E-3,2.1800001,,,,,-49.34400320E-3,2.1200001,,,,,-49.34400320E-3,2.1600001,,,,,-49.34400320E-3,2.1200001,
,,,-49.32800308E-3,2.0600002,,,,,-49.32800308E-3,2.1200001,,,,,-49.32800308E-3,2.0600002,,,,,-49.32800308E-3,2.1000001,
,,,-49.31200296E-3,2.2000000,,,,,-49.31200296E-3,2.1200001,,,,,-49.31200296E-3,2.1800001,,,,,-49.31200296E-3,2.1000001,
,,,-49.29600284E-3,2.0800002,,,,,-49.29600284E-3,2.1200001,,,,,-49.29600284E-3,2.0800002,,,,,-49.29600284E-3,2.1200001,
,,,-49.28000271E-3,2.1800001,,,,,-49.28000271E-3,2.1400001,,,,,-49.28000271E-3,2.1600001,,,,,-49.28000271E-3,2.1000001,
,,,-49.26400259E-3,2.0600002,,,,,-49.26400259E-3,2.1400001,,,,,-49.26400259E-3,2.0600002,,,,,-49.26400259E-3,2.1400001,
,,,-49.24800247E-3,2.2000000,,,,,-49.24800247E-3,2.1200001,,,,,-49.24800247E-3,2.1800001,,,,,-49.24800247E-3,2.1200001,
,,,-49.23200607E-3,2.0600002,,,,,-49.23200607E-3,2.1200001,,,,,-49.23200607E-3,2.0400002,,,,,-49.23200607E-3,2.1200001,
,,,-49.21600595E-3,2.2000000,,,,,-49.21600595E-3,2.1200001,,,,,-49.21600595E-3,2.1800001,,,,,-49.21600595E-3,2.1200001,
,,,-49.20000583E-3,2.0800002,,,,,-49.20000583E-3,2.1200001,,,,,-49.20000583E-3,2.0600002,,,,,-49.20000583E-3,2.1200001,
,,,-49.18400571E-3,2.1800001,,,,,-49.18400571E-3,2.1200001,,,,,-49.18400571E-3,2.1600001,,,,,-49.18400571E-3,2.1200001,
,,,-49.16800559E-3,2.0800002,,,,,-49.16800559E-3,2.1200001,,,,,-49.16800559E-3,2.0600002,,,,,-49.16800559E-3,2.1200001,
