0,293.15,293.3818441,293.4130948,293.1500062
0.015889997,293.3501103,298.6159157,298.9139364,293.1497399
0.031179994,293.9347289,303.312558,303.7209556,293.1496782
0.061759989,296.1683199,311.9280976,312.4543918,293.1501865
0.092339983,300.0071903,319.6548033,320.2165094,293.1522973
0.153499971,310.7394727,333.9952768,334.5869618,293.1636007
0.21465996,323.7488098,347.518981,348.1101292,293.1849791
0.336979937,350.6662121,374.137694,374.7259784,293.2589521
0.581619892,404.1837011,426.7731718,427.3542165,293.5987188
0.826259846,456.9874768,479.4413986,480.0197121,294.0908957
1.315539755,561.9628372,584.4507868,585.0246438,295.6924794
1.657769877,635.1652085,657.7040767,658.2745912,297.1432401
2,708.1467944,730.7450579,731.3120147,298.9403339
2.684460245,853.1703497,875.9041379,876.463397,303.9833978
3.342230123,991.5803876,1014.462275,1015.013392,310.3097124
4,1128.949948,1151.996218,1152.538482,318.2430332
5,1335.166392,1358.491446,1359.01896,334.3232271
6,1538.47031,1562.108005,1562.619169,354.8811332
7,1738.696974,1762.675057,1763.169118,380.1412082
8,1936.940946,1961.259493,1961.736963,408.4002207
10,2325.130856,2350.103261,2350.548653,477.0536084
12,2702.600391,2728.183955,2728.59866,560.947655
14,3069.531974,3095.678265,3096.06364,659.190748
16,3426.304079,3452.960969,3453.31832,770.4692884
18,3773.350497,3800.463713,3800.794305,893.2488945
20,4111.115547,4138.628866,4138.933926,1025.861968
22,4440.038853,4467.894885,4468.175611,1166.565546
24,4760.548198,4788.689935,4788.947486,1313.598239
26,5073.062284,5101.431138,5101.666639,1465.139932
28,5377.974235,5406.517231,5406.731753,1619.50698
30,5675.600332,5704.288837,5704.48326,1775.525523
32,5966.204547,5995.023484,5995.198505,1932.462429
34,6250.023953,6278.960343,6279.116576,2089.764631
36,6527.27404,6556.316109,6556.454129,2247.029681
38,6798.155246,6827.292317,6827.412664,2403.946553
40,7062.856592,7092.078977,7092.182167,2560.254539
42,7321.5574,7350.856304,7350.942828,2715.725771
44,7574.428584,7603.796048,7603.866373,2870.159181
46,7821.633337,7851.062146,7851.116721,3023.377889
46.00003052,7821.637069,7851.065879,7851.120453,3023.380219
46.00009155,7821.644527,7851.073338,7851.127912,3023.384876
46.00021362,7821.659442,7851.088257,7851.14283,3023.394191
46.00027466,7821.666899,7851.095717,7851.150289,3023.398848
46.00039673,7821.681815,7851.110635,7851.165207,3023.408163
46.00064087,7821.711645,7851.140473,7851.195042,3023.426792
46.00112915,7821.771305,7851.200147,7851.254713,3023.46405
46.00210571,7821.890624,7851.319494,7851.374053,3023.538567
46.00405884,7822.129258,7851.558185,7851.612727,3023.687599
46.00796509,7822.606503,7852.035543,7852.090055,3023.985657
46.00894165,7822.725814,7852.154881,7852.209386,3024.060171
46.01089478,7822.964428,7852.393552,7852.448042,3024.209198
46.0128479,7823.203038,7852.632218,7852.686693,3024.358224
46.01675415,7823.680236,7853.109529,7853.163973,3024.656271
46.02456665,7824.634548,7854.064066,7854.11845,3025.252342
46.04019165,7826.542837,7855.972805,7856.027067,3026.444401
46.07144165,7830.358071,7859.788938,7859.842958,3028.828178
46.13394165,7837.983174,7867.415831,7867.469367,3033.59437
46.25894165,7853.211951,7882.648164,7882.700733,3043.121269
46.50894165,7883.584075,7913.027299,7913.07794,3062.152841
46.50991821,7883.702715,7913.145966,7913.1966,3062.227183
46.51187134,7883.939989,7913.383295,7913.433914,3062.375865
46.51235962,7883.999307,7913.442627,7913.493242,3062.413035
46.51260376,7884.028966,7913.472293,7913.522906,3062.431621
46.51309204,7884.088284,7913.531625,7913.582234,3062.468791
46.51333618,7884.117943,7913.56129,7913.611898,3062.487376
46.51382446,7884.17726,7913.620621,7913.671225,3062.524546
46.51480103,7884.295893,7913.739282,7913.789878,3062.598886
46.51528931,7884.35521,7913.798612,7913.849204,3062.636056
46.51626587,7884.473841,7913.917271,7913.967855,3062.710396
46.51821899,7884.711099,7914.154583,7914.205153,3062.859074
46.52212524,7885.185593,7914.629186,7914.679726,3063.156424
46.52236938,7885.215248,7914.658849,7914.709387,3063.175008
46.52285767,7885.27456,7914.718174,7914.768708,3063.212177
46.52310181,7885.304215,7914.747836,7914.798368,3063.230761
46.52359009,7885.363526,7914.807161,7914.857689,3063.267929
46.52383423,7885.393181,7914.836823,7914.887349,3063.286514
46.52432251,7885.452492,7914.896147,7914.94667,3063.323682
46.52529907,7885.571111,7915.014794,7915.065309,3063.398018
46.5272522,7885.808344,7915.252082,7915.302582,3063.54669
46.52749634,7885.837998,7915.281743,7915.332241,3063.565274
46.52798462,7885.897306,7915.341064,7915.391559,3063.602441
46.52896118,7886.015921,7915.459706,7915.510193,3063.676777
46.52993774,7886.134534,7915.578347,7915.628826,3063.751111
46.53018188,7886.164187,7915.608007,7915.658484,3063.769695
46.53067017,7886.223493,7915.667326,7915.7178,3063.806862
46.53115845,7886.282799,7915.726646,7915.777116,3063.844029
46.53213501,7886.401409,7915.845283,7915.895746,3063.918363
46.53311157,7886.520018,7915.96392,7916.014374,3063.992697
46.5350647,7886.75723,7916.201187,7916.251627,3064.141363
46.53701782,7886.994438,7916.438449,7916.488873,3064.290028
46.54092407,7887.468831,7916.912952,7916.963346,3064.587352
46.54141235,7887.52813,7916.972264,7917.022655,3064.624517
46.54238892,7887.646727,7917.090888,7917.141271,3064.698847
46.54434204,7887.883915,7917.328131,7917.378499,3064.847507
46.54483032,7887.943211,7917.387441,7917.437805,3064.884672
46.54580688,7888.061803,7917.50606,7917.556417,3064.959001
46.54776001,7888.298982,7917.743293,7917.793635,3065.107658
