% Model,COMSOL_Inductor32_Magnet3x4_Design1.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 10 2025, 11:11"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,0.24550367722616143
0,0,-0.06577725061354585
0,3.85,-0.06759114808970995
0.25,-3.85,-0.041305484406525206
0.25,0,-0.1679339008218861
0.25,3.85,-0.25556879254557746
0.5,-3.85,-0.025296014816651585
0.5,0,-0.08276235280890012
0.5,3.85,-0.16901565911587757
0.75,-3.85,-0.027825064027831498
0.75,0,-0.04773672285289249
0.75,3.85,-0.12486375866021754
1,-3.85,-0.03450633213227808
1,0,-0.030120795214176654
1,3.85,-0.09796196134522742
1.25,-3.85,-0.03932543999292798
1.25,0,-0.020501571319925388
1.25,3.85,-0.07881538286837864
1.5,-3.85,-0.040757288856237
1.5,0,-0.014588497801652472
1.5,3.85,-0.06365937958234846
1.75,-3.85,-0.04040371618420474
1.75,0,-0.010873423379232111
1.75,3.85,-0.05163949505407439
2,-3.85,-0.039723580569008876
2,0,-0.00912632507852379
2,3.85,-0.042744175028091
2.2500000000000004,-3.85,-0.037304377246108106
2.2500000000000004,0,-0.007136375496351738
2.2500000000000004,3.85,-0.03466446386870614
2.5,-3.85,-0.03541337729396554
2.5,0,-0.006694269453507151
2.5,3.85,-0.029041385098418887
2.75,-3.85,-0.032377258944197546
2.75,0,-0.005882918473165771
2.75,3.85,-0.023744329811152404
3,-3.85,-0.029281623799590928
3,0,-0.005537508668447211
3,3.85,-0.01970511283513901
3.2500000000000004,-3.85,-0.02577626333520061
3.2500000000000004,0,-0.005402645656290422
3.2500000000000004,3.85,-0.01637523725837231
3.5,-3.85,-0.02210909956300522
3.5,0,-0.005544745142545465
3.5,3.85,-0.013958211127203773
3.75,-3.85,-0.017648443904960065
3.75,0,-0.005239677279237909
3.75,3.85,-0.011809488681577579
4,-3.85,-0.013612240069604098
4,0,-0.005643039294565083
4,3.85,-0.011304049468514543
4.25,-3.85,-0.010018173460961094
4.25,0,-0.006279034439634984
4.25,3.85,-0.012538481004058716
4.500000000000001,-3.85,-0.007422159384557814
4.500000000000001,0,-0.007139215533280424
4.500000000000001,3.85,-0.016033256098250626
4.75,-3.85,-0.005022135773379233
4.75,0,-0.007177400559719854
4.75,3.85,-0.020223016279649786
5,-3.85,-0.0036010045103563315
5,0,-0.007838556122566703
5,3.85,-0.02469712485756806
5.25,-3.85,-0.0020738408108633144
5.25,0,-0.008434093661315117
5.25,3.85,-0.027283859193757504
5.5,-3.85,3.468988484397195E-4
5.5,0,-0.007880369092816447
5.5,3.85,-0.027080808215608543
5.75,-3.85,0.0016114260958617066
5.75,0,-0.007972902436200996
5.75,3.85,-0.026666871613151483
6,-3.85,0.0022790348163968244
6,0,-0.008129172947486829
6,3.85,-0.026031321805337987
