% Model,COMSOL_Inductor12_MagnetSweep.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 16 2025, 13:05"
% Table,Table 1 - Global Evaluation 1
% Magnet_Height (mm),Magnet_Diameter (mm),Current (A),"Electromagnetic force, z component (N)"
5.5,4,-0.4,2.2500368267283894
5.5,4.500000000000001,0,2.2182250847887826
5.5,4.500000000000001,-0.4,2.1705346518256246
6,1,0,0.22156248242556909
6,1,-0.4,0.2166953490271621
6,1.5,0,0.5344269916522065
6,1.5,-0.4,0.5245191120484367
6,2,0,0.9498510407704367
6,2,-0.4,0.9395741669944926
6,2.5,0,1.38349800664172
6,2.5,-0.4,1.3614420628291974
6,3,0,1.7741685318011722
6,3,-0.4,1.7427718987736913
6,3.5,0,2.1010053255332086
6,3.5,-0.4,2.0618210100249175
6,4,0,2.3056293313636687
6,4,-0.4,2.2609104446580766
6,4.500000000000001,0,2.238192542803763
6,4.500000000000001,-0.4,2.190188805833288
6.500000000000001,1,0,0.2216814068771829
6.500000000000001,1,-0.4,0.21671467355875795
6.500000000000001,1.5,0,0.5347711187673327
6.500000000000001,1.5,-0.4,0.5248816142338673
6.500000000000001,2,0,0.9519839261240175
6.500000000000001,2,-0.4,0.9420043328561475
6.500000000000001,2.5,0,1.384099486859285
6.500000000000001,2.5,-0.4,1.3619740423399445
6.500000000000001,3,0,1.7801372291904394
6.500000000000001,3,-0.4,1.748670982330836
6.500000000000001,3.5,0,2.1068981069631465
6.500000000000001,3.5,-0.4,2.06758167638236
6.500000000000001,4,0,2.3131311269440733
6.500000000000001,4,-0.4,2.268222659850694
6.500000000000001,4.500000000000001,0,2.2511476836926474
6.500000000000001,4.500000000000001,-0.4,2.2029005372955655
7,1,0,0.2220429819919837
7,1,-0.4,0.21699560725735229
7,1.5,0,0.5361988516291383
7,1.5,-0.4,0.5263317958084605
7,2,0,0.952010331625291
7,2,-0.4,0.9423017193577513
7,2.5,0,1.38440338674377
7,2.5,-0.4,1.362228473958958
7,3,0,1.780374472585242
7,3,-0.4,1.7488411379677609
7,3.5,0,2.108753486547888
7,3.5,-0.4,2.0693215934865954
7,4,0,2.320590021877135
7,4,-0.4,2.275545965433594
7,4.500000000000001,0,2.259487969400689
7,4.500000000000001,-0.4,2.2110579416298695
7.5,1,0,0.2220821535813879
7.5,1,-0.4,0.21696925046301896
7.5,1.5,0,0.5362173946712157
7.5,1.5,-0.4,0.5263728567015465
7.5,2,0,0.9526099738758795
7.5,2,-0.4,0.9431200777581251
7.5,2.5,0,1.3857109276283548
7.5,2.5,-0.4,1.3635056907538552
7.5,3,0,1.7831209444444602
7.5,3,-0.4,1.7515404936727792
7.5,3.5,0,2.1181516965215494
7.5,3.5,-0.4,2.0786548290709477
7.5,4,0,2.3278465746864656
7.5,4,-0.4,2.2827045622910145
7.5,4.500000000000001,0,2.268701011652826
7.5,4.500000000000001,-0.4,2.2201311919367392
8,1,0,0.22187752282324447
8,1,-0.4,0.21671154374204354
8,1.5,0,0.5359446248235683
8,1.5,-0.4,0.5261305661730991
8,2,0,0.9519581602115964
8,2,-0.4,0.9426479055471761
8,2.5,0,1.3899603558036964
8,2.5,-0.4,1.3677409646482612
8,3,0,1.7827561775580867
8,3,-0.4,1.751152985271721
8,3.5,0,2.114892055795516
8,3.5,-0.4,2.075303052551433
8,4,0,2.329726472804013
8,4,-0.4,2.2844961526656165
8,4.500000000000001,0,2.2785371244756387
8,4.500000000000001,-0.4,2.2298575541010983
8.5,1,0,0.22197552265452436
8.5,1,-0.4,0.2167661565208917
8.5,1.5,0,0.5365587035185742
8.5,1.5,-0.4,0.5267698164836618
8.5,2,0,0.9535677606411231
8.5,2,-0.4,0.9444011151408855
8.5,2.5,0,1.3874739334689732
8.5,2.5,-0.4,1.365235354199136
8.5,3,0,1.7846995817999913
8.5,3,-0.4,1.7530740796314912
8.5,3.5,0,2.119054290883558
8.5,3.5,-0.4,2.07941569035091
8.5,4,0,2.3341418175628403
8.5,4,-0.4,2.288846434462705
8.5,4.500000000000001,0,2.2807685715012647
8.5,4.500000000000001,-0.4,2.2319956797645064
9.000000000000002,1,0,0.2215185969742533
9.000000000000002,1,-0.4,0.2162721615068461
9.000000000000002,1.5,0,0.5362079250435561
9.000000000000002,1.5,-0.4,0.526445305851701
9.000000000000002,2,0,0.9522296449746512
9.000000000000002,2,-0.4,0.943179305422704
9.000000000000002,2.5,0,1.3892602220131354
9.000000000000002,2.5,-0.4,1.3670177922228528
9.000000000000002,3,0,1.7856620169238122
9.000000000000002,3,-0.4,1.7540163737405616
9.000000000000002,3.5,0,2.117724855487278
9.000000000000002,3.5,-0.4,2.0780692678954757
9.000000000000002,4,0,2.3366263806013334
9.000000000000002,4,-0.4,2.2912718220658865
9.000000000000002,4.500000000000001,0,2.2881830411125565
9.000000000000002,4.500000000000001,-0.4,2.239343043803516
9.5,1,0,0.22213339393541265
9.5,1,-0.4,0.21685703824083993
9.5,1.5,0,0.5364312092026755
9.5,1.5,-0.4,0.5266935541037048
9.5,2,0,0.9528515569216565
9.5,2,-0.4,0.9438948732279541
9.5,2.5,0,1.391687200618086
9.5,2.5,-0.4,1.3694425922955442
9.5,3,0,1.7852399036640592
9.5,3,-0.4,1.7535801075480792
9.5,3.5,0,2.1187263745680456
9.5,3.5,-0.4,2.0790380389798795
9.5,4,0,2.3399240447675456
9.5,4,-0.4,2.294532395943577
9.5,4.500000000000001,0,2.292385911491089
9.5,4.500000000000001,-0.4,2.243487368563451
10,1,0,0.22202221870655695
10,1,-0.4,0.21672185579245742
10,1.5,0,0.5366659346500644
10,1.5,-0.4,0.5269528040813661
10,2,0,0.9542876725926269
10,2,-0.4,0.9454040790407844
10,2.5,0,1.3907834951909765
10,2.5,-0.4,1.3685374391282843
10,3,0,1.78524945990054
10,3,-0.4,1.7535818058090022
10,3.5,0,2.122439762558866
10,3.5,-0.4,2.08271983950963
10,4,0,2.3412548710727012
10,4,-0.4,2.2958292220312306
10,4.500000000000001,0,2.295217197610895
10,4.500000000000001,-0.4,2.246272566966435
