% Model,EM_Reluctance.mph
% Version,COMSOL 6.2.0.290
% Date,"Aug 26 2024, 10:59"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0,-0.13,-0.13,2.0132087170985025E-4
0,-0.13,0,6.132868989852571E-5
0,-0.13,0.13,-3.632046575309045E-5
0,0,-0.13,2.1170920759848834E-5
0,0,0,0
0,0,0.13,2.117092071132382E-5
0,0.13,-0.13,-3.6320465752082685E-5
0,0.13,0,6.132868989205966E-5
0,0.13,0.13,2.0132087225123007E-4
0.005,-0.13,-0.13,-0.003197907842836774
0.005,-0.13,0,4.957821267201319E-5
0.005,-0.13,0.13,-0.002638217383157311
0.005,0,-0.13,-0.002967640560431017
0.005,0,0,0
0.005,0,0.13,-0.00296764056080049
0.005,0.13,-0.13,-0.0026382173816930548
0.005,0.13,0,4.9578212689521315E-5
0.005,0.13,0.13,-0.0031979078429595314
0.01,-0.13,-0.13,-0.002668849123233884
0.01,-0.13,0,5.3090623974213724E-5
0.01,-0.13,0.13,-0.00220230781411532
0.01,0,-0.13,-0.0024886710875343895
0.01,0,0,0
0.01,0,0.13,-0.0024886710777107194
0.01,0.13,-0.13,-0.0022023078201117495
0.01,0.13,0,5.309062458515514E-5
0.01,0.13,0.13,-0.0026688491268537094
0.015,-0.13,-0.13,-0.0023518430410789165
0.015,-0.13,0,5.4966917886231745E-5
0.015,-0.13,0.13,-0.0019333316671763714
0.015,0,-0.13,-0.0021975561756318596
0.015,0,0,0
0.015,0,0.13,-0.0021975561749481747
0.015,0.13,-0.13,-0.0019333316672697654
0.015,0.13,0,5.4966917894368676E-5
0.015,0.13,0.13,-0.002351843042353582
0.02,-0.13,-0.13,-0.002040906902843536
0.02,-0.13,0,6.023813657973505E-5
0.02,-0.13,0.13,-0.001683518374011846
0.02,0,-0.13,-0.0019224486873311362
0.02,0,0,0
0.02,0,0.13,-0.0019224486860807495
0.02,0.13,-0.13,-0.0016835183745471563
0.02,0.13,0,6.023813662960964E-5
0.02,0.13,0.13,-0.0020409069029326465
0.025,-0.13,-0.13,-0.0018110468317753706
0.025,-0.13,0,6.044226768483964E-5
0.025,-0.13,0.13,-0.0014905709423031531
0.025,0,-0.13,-0.001711251367538724
0.025,0,0,0
0.025,0,0.13,-0.0017112513669475967
0.025,0.13,-0.13,-0.0014905709421924912
0.025,0.13,0,6.0442267583549666E-5
0.025,0.13,0.13,-0.0018110468305826636
0.03,-0.13,-0.13,-0.0015780509158895336
0.03,-0.13,0,6.612067103152368E-5
0.03,-0.13,0.13,-0.001307173657576888
0.03,0,-0.13,-0.0015087278393014385
0.03,0,0,0
0.03,0,0.13,-0.0015087278393602344
0.03,0.13,-0.13,-0.001307173657418414
0.03,0.13,0,6.61206710436179E-5
0.03,0.13,0.13,-0.00157805091564951
0.035,-0.13,-0.13,-0.001434218735642678
0.035,-0.13,0,6.321825619363833E-5
0.035,-0.13,0.13,-0.0011764791283280394
0.035,0,-0.13,-0.0013685645606392694
0.035,0,0,0
0.035,0,0.13,-0.0013685645607273483
0.035,0.13,-0.13,-0.0011764791267808697
0.035,0.13,0,6.321825624956634E-5
0.035,0.13,0.13,-0.001434218735644314
0.04,-0.13,-0.13,-0.001299006456694162
0.04,-0.13,0,7.176610179199678E-5
0.04,-0.13,0.13,-0.0010752504070126988
0.04,0,-0.13,-0.0012588917004806926
0.04,0,0,0
0.04,0,0.13,-0.0012588917004874574
0.04,0.13,-0.13,-0.0010752504071587796
0.04,0.13,0,7.176610191378506E-5
0.04,0.13,0.13,-0.0012990064568961972
0.045,-0.13,-0.13,-0.0011776510152700962
0.045,-0.13,0,7.23255994407956E-5
0.045,-0.13,0.13,-9.730278083900869E-4
0.045,0,-0.13,-0.0011476643422351235
0.045,0,0,0
0.045,0,0.13,-0.0011476643421054838
0.045,0.13,-0.13,-9.730278083489847E-4
0.045,0.13,0,7.232559944045974E-5
0.045,0.13,0.13,-0.001177651016904887
0.05,-0.13,-0.13,-0.0010827785022785765
0.05,-0.13,0,7.379352344517936E-5
0.05,-0.13,0.13,-8.86970288439325E-4
0.05,0,-0.13,-0.0010586694232558288
0.05,0,0,0
0.05,0,0.13,-0.0010586694232670028
0.05,0.13,-0.13,-8.869702885611716E-4
0.05,0.13,0,7.37935234111983E-5
0.05,0.13,0.13,-0.0010827785019319033
0.055,-0.13,-0.13,-9.912314265137206E-4
0.055,-0.13,0,7.649426839239926E-5
0.055,-0.13,0.13,-8.082165869541491E-4
0.055,0,-0.13,-9.762191481783569E-4
0.055,0,0,0
0.055,0,0.13,-9.762191471021308E-4
0.055,0.13,-0.13,-8.082165878407011E-4
0.055,0.13,0,7.649426839331814E-5
0.055,0.13,0.13,-9.912314265137195E-4
0.06,-0.13,-0.13,-8.916914215418145E-4
0.06,-0.13,0,8.596301550499872E-5
0.06,-0.13,0.13,-7.36690635538297E-4
0.06,0,-0.13,-9.001554961799666E-4
0.06,0,0,0
0.06,0,0.13,-9.001554963968048E-4
0.06,0.13,-0.13,-7.366906359188551E-4
0.06,0.13,0,8.596301550415271E-5
0.06,0.13,0.13,-8.916914211483922E-4
0.065,-0.13,-0.13,-8.188888389593381E-4
0.065,-0.13,0,8.728656214604302E-5
0.065,-0.13,0.13,-6.708427775739703E-4
0.065,0,-0.13,-8.321523418477591E-4
0.065,0,0,0
0.065,0,0.13,-8.321523416195235E-4
0.065,0.13,-0.13,-6.708427777109872E-4
0.065,0.13,0,8.728656214593785E-5
0.065,0.13,0.13,-8.188888389736791E-4
0.07,-0.13,-0.13,-7.523242619089915E-4
0.07,-0.13,0,9.247242538838095E-5
0.07,-0.13,0.13,-6.175869391011494E-4
0.07,0,-0.13,-7.774287080080683E-4
0.07,0,0,0
0.07,0,0.13,-7.774287079052451E-4
0.07,0.13,-0.13,-6.175869390437987E-4
0.07,0.13,0,9.247242558156746E-5
0.07,0.13,0.13,-7.523242617108866E-4
0.075,-0.13,-0.13,-6.835580539379124E-4
0.075,-0.13,0,8.951585362650111E-5
0.075,-0.13,0.13,-5.593950193283758E-4
0.075,0,-0.13,-7.10991733437649E-4
0.075,0,0,0
0.075,0,0.13,-7.109917334102711E-4
0.075,0.13,-0.13,-5.593950185404055E-4
0.075,0.13,0,8.951585361298215E-5
0.075,0.13,0.13,-6.835580539350217E-4
0.08,-0.13,-0.13,-6.289207229833631E-4
