% Model,EM_Reluctance.mph
% Version,COMSOL 6.2.0.290
% Date,"Aug 27 2024, 15:02"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0.075,0.13,0,7.348903418255753E-5
0.075,0.13,0.13,-5.228995573723067E-4
0.08,-0.13,-0.13,-4.837414004301306E-4
0.08,-0.13,0,8.108151012322284E-5
0.08,-0.13,0.13,-4.003499488708897E-4
0.08,0,-0.13,-5.231241272084952E-4
0.08,0,0,0
0.08,0,0.13,-5.231241270326973E-4
0.08,0.13,-0.13,-4.003499489547046E-4
0.08,0.13,0,8.108151002393802E-5
0.08,0.13,0.13,-4.8374140058644454E-4
0.085,-0.13,-0.13,-4.4869589710041835E-4
0.085,-0.13,0,8.244287143878979E-5
0.085,-0.13,0.13,-3.6740010813148834E-4
0.085,0,-0.13,-4.904890717887423E-4
0.085,0,0,0
0.085,0,0.13,-4.904890718358087E-4
0.085,0.13,-0.13,-3.6740010798033256E-4
0.085,0.13,0,8.244287143800998E-5
0.085,0.13,0.13,-4.4869589709530314E-4
0.09,-0.13,-0.13,-4.052708335610355E-4
0.09,-0.13,0,8.502222524356985E-5
0.09,-0.13,0.13,-3.321197743707819E-4
0.09,0,-0.13,-4.5371554374810014E-4
0.09,0,0,0
0.09,0,0.13,-4.537155436416915E-4
0.09,0.13,-0.13,-3.321197743679837E-4
0.09,0.13,0,8.502222518923622E-5
0.09,0.13,0.13,-4.0527083342423956E-4
0.095,-0.13,-0.13,-3.7857822117760647E-4
0.095,-0.13,0,8.901564170001882E-5
0.095,-0.13,0.13,-3.099748227351609E-4
0.095,0,-0.13,-4.3329031113856247E-4
0.095,0,0,0
0.095,0,0.13,-4.332903112556696E-4
0.095,0.13,-0.13,-3.0997482304066554E-4
0.095,0.13,0,8.901564173018067E-5
0.095,0.13,0.13,-3.785782212332923E-4
0.1,-0.13,-0.13,-3.3215409962251237E-4
0.1,-0.13,0,9.331294968872896E-5
0.1,-0.13,0.13,-2.7535169090588693E-4
0.1,0,-0.13,-3.970656515757161E-4
0.1,0,0,0
0.1,0,0.13,-3.970656514939119E-4
0.1,0.13,-0.13,-2.7535169072116534E-4
0.1,0.13,0,9.331294968692439E-5
0.1,0.13,0.13,-3.3215409972294543E-4
0.105,-0.13,-0.13,-3.071562561163235E-4
0.105,-0.13,0,9.411705551405656E-5
0.105,-0.13,0.13,-2.4967488828046624E-4
0.105,0,-0.13,-3.725306128430467E-4
0.105,0,0,0
0.105,0,0.13,-3.725306128050907E-4
0.105,0.13,-0.13,-2.496748884077991E-4
0.105,0.13,0,9.411705557317182E-5
0.105,0.13,0.13,-3.071562561010385E-4
0.11,-0.13,-0.13,-2.866274689645693E-4
0.11,-0.13,0,9.983503801472122E-5
0.11,-0.13,0.13,-2.3389063740511317E-4
0.11,0,-0.13,-3.600914007570875E-4
0.11,0,0,0
0.11,0,0.13,-3.6009140135284234E-4
0.11,0.13,-0.13,-2.3389063741346245E-4
0.11,0.13,0,9.983503792917771E-5
0.11,0.13,0.13,-2.866274689645673E-4
0.115,-0.13,-0.13,-2.3707745992527544E-4
0.115,-0.13,0,1.0707866002093479E-4
0.115,-0.13,0.13,-1.9781940093344238E-4
0.115,0,-0.13,-3.245255619070462E-4
0.115,0,0,0
0.115,0,0.13,-3.245255621598019E-4
0.115,0.13,-0.13,-1.9781940101905353E-4
0.115,0.13,0,1.0707865996133866E-4
0.115,0.13,0.13,-2.370774598760167E-4
0.12,-0.13,-0.13,-2.3096034291941018E-4
0.12,-0.13,0,1.1225889104133244E-4
0.12,-0.13,0.13,-1.9011504354277242E-4
0.12,0,-0.13,-3.2279594695866775E-4
0.12,0,0,0
0.12,0,0.13,-3.2279594685036153E-4
0.12,0.13,-0.13,-1.9011504357046308E-4
0.12,0.13,0,1.1225889107868826E-4
0.12,0.13,0.13,-2.3096034290522282E-4
0.125,-0.13,-0.13,-2.016896990450667E-4
0.125,-0.13,0,1.1739941051408498E-4
0.125,-0.13,0.13,-1.673984684383866E-4
0.125,0,-0.13,-3.01939857625641E-4
0.125,0,0,0
0.125,0,0.13,-3.0193985764808405E-4
0.125,0.13,-0.13,-1.6739846835396675E-4
0.125,0.13,0,1.1739941050997293E-4
0.125,0.13,0.13,-2.0168969910149866E-4
0.13,-0.13,-0.13,-1.799511494150909E-4
0.13,-0.13,0,1.2410760470879441E-4
0.13,-0.13,0.13,-1.495337285242631E-4
0.13,0,-0.13,-2.8884652750073314E-4
0.13,0,0,0
0.13,0,0.13,-2.888465276232899E-4
0.13,0.13,-0.13,-1.495337282112568E-4
0.13,0.13,0,1.241076047158882E-4
0.13,0.13,0.13,-1.7995114943969906E-4
0.135,-0.13,-0.13,-1.5109484909334956E-4
0.135,-0.13,0,1.2731432853971145E-4
0.135,-0.13,0.13,-1.2734696749268717E-4
0.135,0,-0.13,-2.6653407884489325E-4
0.135,0,0,0
0.135,0,0.13,-2.665340788128879E-4
0.135,0.13,-0.13,-1.27346967155318E-4
0.135,0.13,0,1.273143285572843E-4
0.135,0.13,0.13,-1.510948490395722E-4
0.14,-0.13,-0.13,-1.3814380342791558E-4
0.14,-0.13,0,1.3383137834560718E-4
0.14,-0.13,0.13,-1.1492195150464849E-4
0.14,0,-0.13,-2.603660849790735E-4
0.14,0,0,0
0.14,0,0.13,-2.6036608494561125E-4
0.14,0.13,-0.13,-1.149219514556986E-4
0.14,0.13,0,1.3383137843753562E-4
